qb_id,qb_name,qualifying_receivers,ypg_highs,tdpg_highs,ypg_lows,tdpg_lows,expected_equal,expected_seasons,elev_ypg_oe,elev_tdpg_oe,elev_blended,depr_ypg_oe,depr_tdpg_oe,depr_blended,net_ypg,net_tdpg,net_blended,yards_rate,td_rate,career_starts
00-0034869,Sam Darnold,26,6,7,5,7,8.727380952380953,8.056782106782107,0.7447141948830004,0.8688332273635004,0.8067737111232505,0.6205951624025002,0.8688332273635004,0.7447141948830003,0.12411903248050016,0.0,0.06205951624025019,0.23076923076923078,0.2692307692307692,74
00-0026498,Matthew Stafford,38,15,11,12,13,12.95515873015873,12.401406926406926,1.2095401827400536,0.8869961340093726,1.048268158374713,0.9676321461920429,1.048268158374713,1.007950152283378,0.24190803654801074,-0.1612720243653405,0.04031800609133507,0.39473684210526316,0.2894736842105263,219
00-0033119,Jacoby Brissett,19,7,5,5,7,5.45952380952381,4.190945165945166,1.6702676181212501,1.1930482986580357,1.431657958389643,1.1930482986580357,1.6702676181212501,1.431657958389643,0.4772193194632144,-0.4772193194632144,0.0,0.3684210526315789,0.2631578947368421,54
00-0034855,Baker Mayfield,19,4,6,6,5,5.40952380952381,6.213888888888889,0.6437192668752795,0.9655789003129192,0.8046490835940994,0.9655789003129192,0.8046490835940993,0.8851139919535091,-0.3218596334376397,0.1609298167188199,-0.08046490835940978,0.21052631578947367,0.3157894736842105,106
00-0027973,Andy Dalton,34,9,13,10,14,11.316666666666666,11.4495781995782,0.786055157938618,1.1354130059113372,0.9607340819249777,0.8733946199317978,1.222752467904517,1.0480735439181574,-0.08733946199317977,-0.08733946199317977,-0.08733946199317977,0.2647058823529412,0.38235294117647056,166
00-0027939,Cam Newton,21,6,2,5,4,5.127380952380952,5.670615495615496,1.05808619975013,0.35269539991671,0.70539079983342,0.881738499791775,0.70539079983342,0.7935646498125974,0.1763476999583551,-0.35269539991671,-0.08817384997917743,0.2857142857142857,0.09523809523809523,143
00-0033077,Dak Prescott,27,10,12,13,11,10.094444444444445,11.075407925407925,0.9029012806886464,1.0834815368263757,0.9931914087575111,1.1737716648952403,0.9931914087575111,1.0834815368263757,-0.27087038420659393,0.0902901280688646,-0.0902901280688646,0.37037037037037035,0.4444444444444444,120
00-0033537,Deshaun Watson,17,5,4,5,5,4.392857142857142,4.734315684315684,1.0561188423840222,0.8448950739072177,0.95050695814562,1.0561188423840222,1.0561188423840222,1.0561188423840222,0.0,-0.21122376847680446,-0.10561188423840218,0.29411764705882354,0.23529411764705882,71
00-0031407,Blake Bortles,13,4,4,4,5,3.9595238095238097,4.650878533231475,0.8600525624178712,0.8600525624178712,0.8600525624178712,0.8600525624178712,1.075065703022339,0.9675591327201051,0.0,-0.21501314060446775,-0.10750657030223387,0.3076923076923077,0.3076923076923077,73
00-0036442,Joe Burrow,12,4,2,5,2,4.483333333333333,4.540656565656565,0.8809298704187755,0.44046493520938773,0.6606974028140816,1.1011623380234692,0.44046493520938773,0.7708136366164284,-0.22023246760469373,0.0,-0.11011623380234681,0.3333333333333333,0.16666666666666666,69
